words,sim,vsim
love|sex,6.77,0.008618935388970423
tiger|cat,7.35,0.044975903534018064
tiger|tiger,10.0,1.0000000000000002
book|paper,7.46,0.00423371582146849
comput|keyboard,7.62,0.0052769115872056405
comput|internet,7.58,0.024533445013707283
plane|car,5.77,0.0
train|car,6.31,0.03569997759210885
telephon|communic,7.5,0.02629460348452165
televis|radio,6.77,0.038512520260814295
media|radio,7.42,0.01832496163105301
drug|abus,6.85,0.05938911107440302
bread|butter,6.19,0.09665179162363106
cucumb|potato,5.92,0.029880403526675942
doctor|nurs,7.0,0.018462985356360078
professor|doctor,6.62,0.005997305568582086
student|professor,6.81,0.005715457638429485
smart|student,4.62,0.0037320621011884512
smart|stupid,5.81,0.004683862506212158
compani|stock,7.08,0.038651749799425664
stock|market,8.08,0.06993080576260333
stock|phone,1.62,6.356242207698617E-4
stock|jaguar,0.92,0.0
stock|egg,1.81,4.5772155738234266E-4
fertil|egg,6.69,0.03719200434321516
stock|live,3.73,0.0
stock|life,0.92,0.0028960647912262168
book|librari,7.46,0.02852515319491606
bank|money,8.12,0.047381969281968125
wood|forest,7.73,0.014359061473972179
money|cash,9.15,0.06263419130694134
professor|cucumb,0.31,0.0
king|cabbag,0.23,0.0011676864983061117
king|queen,8.58,0.03647184565068287
king|rook,5.92,0.011105434075645532
bishop|rabbi,6.69,1.9442096347227535E-4
holi|sex,1.62,0.0010449967581889236
fuck|sex,9.44,0.013215187023092751
footbal|soccer,9.03,0.010492702038661018
footbal|basketbal,6.81,0.013689785969936256
footbal|tenni,6.63,0.0023912199207679094
tenni|racket,7.56,0.04718917694584234
law|lawyer,8.38,0.08872348477735656
movi|star,7.38,0.022526862490496964
movi|popcorn,6.19,0.005384818616575617
movi|critic,6.73,0.02254945465040742
movi|theater,7.92,0.03745853473949764
physic|proton,8.12,0.018769491454682534
physic|chemistri,7.35,0.06946792349415386
space|chemistri,4.88,0.0010583218858626706
alcohol|chemistri,5.54,0.002484549075825502
vodka|gin,8.46,0.09474467181827324
vodka|brandi,8.13,0.054236586739200204
drink|car,3.04,5.805788625259813E-4
drink|ear,1.31,5.247228528317994E-4
drink|mouth,5.96,0.006914992904787103
drink|eat,6.87,0.02463423073841301
babi|mother,7.85,0.028831088819577213
drink|mother,2.65,0.005266772192526946
car|automobil,8.94,0.09167842218585255
gem|jewel,8.96,0.04137091061175027
journey|voyag,9.29,0.01282225192192345
boy|lad,8.83,0.003032303891569042
coast|shore,9.1,0.008049974796816638
asylum|madhous,8.87,0.01835842510224706
magician|wizard,9.02,0.02645485599910471
midday|noon,9.29,0.03431628390408052
furnac|stove,8.79,0.04688795653224574
food|fruit,7.52,0.008595943274003415
bird|cock,7.1,0.0028441247562273337
bird|crane,7.38,0.009507500889515763
tool|implement,6.46,0.016932834805232968
brother|monk,6.27,0.00313602448599119
crane|implement,2.69,4.934132373104641E-4
lad|brother,4.46,7.563374630296787E-4
journey|car,5.85,0.0019713807647897537
