words,sim,vsim
love|sex,6.77,0.07292314973431155
tiger|cat,7.35,0.04201056211174861
tiger|tiger,10.0,0.9999999999999999
book|paper,7.46,0.11743446222476737
computer|keyboard,7.62,0.28969891947708193
computer|internet,7.58,0.14974751984648343
plane|car,5.77,0.016921993052398717
train|car,6.31,0.16921255521598813
telephone|communication,7.5,0.47996548584575205
television|radio,6.77,0.04962291779963059
media|radio,7.42,0.10811363195943335
drug|abuse,6.85,0.1898754105233274
bread|butter,6.19,0.8513186937299486
cucumber|potato,5.92,0.786782615937455
doctor|nurse,7.0,0.04407928625652629
professor|doctor,6.62,0.058062007375087134
student|professor,6.81,0.0
smart|student,4.62,0.013775331864297292
smart|stupid,5.81,0.07928092813964611
company|stock,7.08,0.2664164617354019
stock|market,8.08,0.5350046751861073
stock|phone,1.62,0.0
stock|cd,1.31,0.0
stock|jaguar,0.92,0.034049919217909945
stock|egg,1.81,0.0
fertility|egg,6.69,0.16740927528056754
stock|live,3.73,0.0
stock|life,0.92,0.0017882325570565275
book|library,7.46,0.03447333670718304
bank|money,8.12,0.25820305449109465
wood|forest,7.73,0.43530911328073757
money|cash,9.15,0.6813699427525785
professor|cucumber,0.31,0.01288909017939078
king|cabbage,0.23,0.0
king|queen,8.58,0.18988628974974772
king|rook,5.92,0.22415111918060163
bishop|rabbi,6.69,0.0
holy|sex,1.62,0.0
fuck|sex,9.44,0.23243655193857857
football|soccer,9.03,0.1719960564346409
football|basketball,6.81,7.994001147849737E-4
football|tennis,6.63,0.029851731383647155
tennis|racket,7.56,0.5318012679416927
law|lawyer,8.38,0.5163270370233236
movie|star,7.38,0.21261892057852586
movie|popcorn,6.19,0.16960653701137604
movie|critic,6.73,0.07885952258520883
movie|theater,7.92,0.21139614090885675
physics|proton,8.12,0.13674545493452003
physics|chemistry,7.35,0.5254378812136865
space|chemistry,4.88,0.0
alcohol|chemistry,5.54,0.0
vodka|gin,8.46,0.3624336786680408
vodka|brandy,8.13,0.4334403464049474
drink|car,3.04,0.02490598005279558
drink|ear,1.31,0.0
drink|mouth,5.96,0.030684425231234068
drink|eat,6.87,0.27888231618855625
baby|mother,7.85,0.4530686748069918
drink|mother,2.65,0.013456347468133432
car|automobile,8.94,0.621492695513712
gem|jewel,8.96,0.26944511749383193
journey|voyage,9.29,0.4524695995666393
boy|lad,8.83,0.22583107760215052
coast|shore,9.1,0.4101210522454308
asylum|madhouse,8.87,0.07513777175243665
magician|wizard,9.02,0.7490502531193979
midday|noon,9.29,0.6781919537205773
furnace|stove,8.79,0.26721546170594906
food|fruit,7.52,0.25178335645961786
bird|cock,7.1,0.18046554996179037
bird|crane,7.38,0.08470176862846931
tool|implement,6.46,0.18830440584877092
brother|monk,6.27,0.0
crane|implement,2.69,0.0
lad|brother,4.46,0.0
journey|car,5.85,0.0
monk|oracle,5.0,0.0
cemetery|woodland,2.08,0.2259098004851229
food|rooster,4.42,0.0624102423564382
coast|hill,4.38,0.0
forest|graveyard,1.85,0.006430771372678858
shore|woodland,3.08,0.0
monk|slave,0.92,0.00372950265211558
coast|forest,3.15,0.0
lad|wizard,0.92,0.016744871744851002
chord|smile,0.54,0.0
glass|magician,2.08,0.03919869999475367
noon|string,0.54,0.0074767641137260645
rooster|voyage,0.62,0.04730778076838324
money|dollar,8.42,0.45662585974868364
money|cash,9.08,0.6813699427525785
money|currency,9.04,0.5256206903304517
money|wealth,8.27,0.3612575927788596
money|property,7.57,0.10515969470522422
money|possession,7.29,0.0
money|bank,8.5,0.25820305449109465
money|deposit,7.73,0.196402650982281
money|withdrawal,6.88,0.0023876836730291834
money|laundering,5.65,0.4462408209173442
money|operation,3.31,0.030904894484863533
tiger|jaguar,8.0,0.20792826603896186
tiger|feline,8.0,0.18499286058362405
tiger|carnivore,7.08,0.35024610094032665
tiger|mammal,6.85,0.22877439413619452
tiger|animal,7.0,0.4144828856145318
tiger|organism,4.77,0.0
tiger|fauna,5.62,0.12580352085225163
tiger|zoo,5.87,0.7315126616616647
psychology|psychiatry,8.08,0.3531487698542007
psychology|anxiety,7.0,0.4441137107953871
psychology|fear,6.85,0.2913837679791374
psychology|depression,7.42,0.08781712486421807
psychology|clinic,6.58,0.030129296754706457
psychology|doctor,6.42,0.004112944796612697
psychology|mind,7.69,0.4454899786763338
psychology|health,7.23,0.059546868467988325
psychology|science,6.71,0.07529750270479413
psychology|discipline,5.58,0.40421728676802193
psychology|cognition,7.48,0.7488286849434528
planet|star,8.45,0.5367538703195588
planet|constellation,8.06,0.3922631733545308
planet|moon,8.08,0.030039386167642363
planet|sun,8.02,0.12377835957420676
planet|galaxy,8.11,0.5667226450890961
planet|space,7.92,0.01061935071055768
planet|astronomer,7.94,0.5177357020409173
precedent|example,5.85,0.03935168852520261
precedent|information,3.85,0.0
precedent|cognition,2.81,0.0
precedent|law,6.65,0.4197338589472913
precedent|collection,2.5,0.0
precedent|group,1.77,0.0011656968502914901
precedent|antecedent,6.04,0.05416756254224178
cup|coffee,6.58,0.11237334035126932
cup|tableware,6.85,0.020580258863425384
cup|article,2.4,0.02604742505353697
cup|artifact,2.92,0.0
cup|object,3.69,6.301763716441033E-4
cup|entity,2.15,0.0
cup|drink,7.25,0.07692737814322824
cup|food,5.0,0.004079415928806822
cup|substance,1.92,0.0028319072059463228
cup|liquid,5.9,0.012415161806472754
jaguar|cat,7.42,0.1475617627398054
jaguar|car,7.27,0.5600450231297345
energy|secretary,1.81,0.040088936639133564
secretary|senate,5.06,0.17128795809968134
energy|laboratory,5.09,0.014810417194418798
computer|laboratory,6.78,0.228880192271674
weapon|secret,6.06,0.10431207103807436
investigation|effort,4.59,0.004520596360674645
news|report,8.16,0.25786933382719446
canyon|landscape,7.53,0.0
image|surface,4.56,0.08144576461869192
discovery|space,6.34,0.06115345311839542
water|seepage,6.56,0.3628526218821664
sign|recess,2.38,0.031322699487770396
mile|kilometer,8.66,0.004247117514189943
computer|news,4.47,0.040417960474526664
territory|surface,5.34,0.003579965526224322
atmosphere|landscape,3.69,0.07607081713154626
president|medal,3.0,0.0
war|troops,8.13,0.03200548915324726
record|number,6.31,0.0
skin|eye,6.22,0.37022882653096667
theater|history,3.91,0.0370531924790452
volunteer|motto,2.56,0.12399567604817242
prejudice|recognition,3.0,0.0
decoration|valor,5.63,0.14495083760187413
century|year,7.59,0.0
century|nation,3.16,0.04272357763147801
delay|racism,1.19,0.0
delay|news,3.31,0.011110639369346196
minister|party,6.63,0.015740051432983623
peace|plan,4.75,0.015721403432631127
minority|peace,3.69,0.0
attempt|peace,4.25,0.027228556698912797
government|crisis,6.56,0.15244577317219865
deployment|departure,4.25,0.05296866476931799
deployment|withdrawal,5.88,0.04504687080762576
energy|crisis,5.94,0.015456863802566853
announcement|news,7.56,0.11170369093027091
announcement|effort,2.75,0.020664115405065218
stroke|hospital,7.03,0.05277169744099011
disability|death,5.47,0.05705864030937003
victim|emergency,6.47,0.0014213927515851596
treatment|recovery,7.91,0.29943292812930705
journal|association,4.97,0.23803716013155007
doctor|personnel,5.0,0.01155540564782962
doctor|liability,5.19,9.068556203547767E-4
liability|insurance,7.03,0.6667434314052397
school|center,3.44,0.0024533682718068605
reason|hypertension,2.31,0.0
reason|criterion,5.91,0.1457168523275149
hundred|percent,7.38,0.08656495327431336
hospital|infrastructure,4.63,0.028653852133281064
death|row,5.25,0.07703262849816586
death|inmate,5.03,0.31259961815599524
lawyer|evidence,6.69,0.299072989183008
life|death,7.88,0.34920330547831047
life|term,4.5,0.029621670425382416
word|similarity,4.75,0.17957574109151614
board|recommendation,4.47,0.2133596799965734
governor|interview,3.25,0.0
peace|atmosphere,3.69,0.009185069463236275
peace|insurance,2.94,0.0050058544542656794
territory|kilometer,5.28,0.06267078463174747
travel|activity,5.0,0.0
competition|price,6.44,0.15016210800777094
consumer|confidence,4.13,0.0
consumer|energy,4.75,0.0606610422483873
problem|airport,2.38,0.0017239645303566004
car|flight,4.94,0.0
credit|card,8.06,0.40827472348974836
credit|information,5.31,0.041014591858305055
hotel|reservation,8.03,0.057059949188460204
grocery|money,5.94,0.04775924233495957
registration|arrangement,6.0,0.027339831185151826
arrangement|accommodation,5.41,0.04294369630407827
month|hotel,1.81,0.0099361517699214
type|kind,8.97,0.12196735716278048
arrival|hotel,6.0,0.02258999643152356
bed|closet,6.72,0.17316534553575066
closet|clothes,8.0,0.09200193885920271
situation|conclusion,4.81,0.14170721752588697
situation|isolation,3.88,0.2191152743611521
impartiality|interest,5.16,0.07162061194869303
direction|combination,2.25,0.11476029432147415
street|place,6.44,0.08155803585395788
street|avenue,8.88,0.7553476813544306
street|block,6.88,0.2439285912473042
street|children,4.94,0.0124212680905482
listing|proximity,2.56,0.0
listing|category,6.38,0.0
cell|phone,7.81,0.11944129911765915
production|hike,1.75,0.0
benchmark|index,4.25,0.3223948948367005
media|trading,3.88,0.012575460506787154
media|gain,2.88,0.0
dividend|payment,7.63,0.29743464499771555
dividend|calculation,6.48,0.2651584616459688
calculation|computation,8.44,0.4925974726905841
currency|market,7.5,0.16527976332476282
oil|stock,6.34,0.0
announcement|production,3.38,0.0
announcement|warning,6.0,3.670264491017864E-4
profit|warning,3.88,0.0
profit|loss,7.63,0.037829269197111576
dollar|yen,7.78,0.395466461176298
dollar|buck,9.22,0.0665005136317992
dollar|profit,7.38,0.07705387742946354
dollar|loss,6.09,0.016595002835691357
computer|software,8.5,0.445891235943658
network|hardware,8.31,0.013549158773395674
phone|equipment,7.13,0.17849096145944798
equipment|maker,5.91,0.04612247026764725
luxury|car,6.47,0.3559259496302027
five|month,3.38,0.18345669543073906
report|gain,3.63,0.0
investor|earning,7.13,0.016841030203301962
liquid|water,7.89,0.11380954720824138
baseball|season,5.97,0.0
game|victory,7.03,0.12935927995565802
game|team,7.69,0.0
marathon|sprint,7.47,0.3697529332843784
game|series,6.19,0.0040258425585789105
game|defeat,6.97,0.04916360885377618
seven|series,3.56,0.09863392854540942
seafood|sea,7.47,0.1938958393241648
seafood|food,8.34,0.5081398251119619
seafood|lobster,8.7,0.7212230773950432
lobster|food,7.81,0.27171557740237295
lobster|wine,5.7,0.0
food|preparation,6.22,0.3582182490234313
video|archive,6.34,0.09798027173711565
start|year,4.06,0.22949442457795394
start|match,4.47,0.011740778563420623
game|round,5.97,0.0
boxing|round,7.61,0.29746719722149
championship|tournament,8.36,0.29142155373203077
fighting|defeating,7.41,0.10663694627233501
line|insurance,2.69,0.021127802421095784
day|summer,3.94,0.08606241128304434
summer|drought,7.16,0.11780655562631089
summer|nature,5.63,0.05365728730207252
day|dawn,7.53,0.1877838247587443
nature|environment,8.31,0.26095800550274867
environment|ecology,8.81,0.5958520344783861
nature|man,6.25,0.149573517367272
man|woman,8.3,0.4613411038012978
man|governor,5.25,0.0
murder|manslaughter,8.53,0.805676203121516
soap|opera,7.94,0.4797155908444695
opera|performance,6.88,0.23438272634334667
life|lesson,5.94,0.01546317483452862
focus|life,4.06,0.04302579472368179
production|crew,6.25,0.0
television|film,7.72,0.0206136967064577
lover|quarrel,6.19,0.23519195337286533
viewer|serial,2.97,0.0
possibility|girl,1.94,0.0
population|development,3.75,0.0
morality|importance,3.31,0.18374248312369013
morality|marriage,3.69,0.0
gender|equality,6.41,0.46445447285453334
change|attitude,5.44,0.07913857712371687
family|planning,6.25,0.03454779384855116
opera|industry,2.63,0.0
sugar|approach,0.88,0.0
practice|institution,3.19,0.0559064753899476
ministry|culture,4.69,0.0
problem|challenge,6.75,0.0
size|prominence,5.31,0.0
country|citizen,7.31,0.23680671038157558
planet|people,5.75,0.01525686840460736
development|issue,3.97,0.0
experience|music,3.47,0.005431474763331156
music|project,3.63,0.009987404607878945
glass|metal,5.56,0.08994895974293095
aluminum|metal,7.83,0.34079160985504264
chance|credibility,3.88,0.0
exhibit|memorabilia,5.31,0.4384498090107422
concert|virtuoso,6.81,0.35891383989951015
rock|jazz,7.59,0.0
museum|theater,7.19,0.023694919893466348
observation|architecture,4.38,0.0
space|world,6.53,0.0
preservation|world,6.19,0.01675253434514665
admission|ticket,7.69,0.09224078356372968
shower|thunderstorm,6.31,0.06715325326627716
shower|flood,6.03,0.0
weather|forecast,8.34,0.6715270460937752
disaster|area,6.25,0.009696627119652131
governor|office,6.34,0.34413248179257816
architecture|century,3.78,0.1829510433593881
