words,sim,vsim
love|sex,6.77,0.5364615748671557
tiger|cat,7.35,0.5210052810558743
tiger|tiger,10.0,1.0
book|paper,7.46,0.5587172311123837
computer|keyboard,7.62,0.644849459738541
computer|internet,7.58,0.5748737599232417
plane|car,5.77,0.5084609965261994
train|car,6.31,0.5846062776079941
telephone|communication,7.5,0.739982742922876
television|radio,6.77,0.5248114588998153
media|radio,7.42,0.5540568159797167
drug|abuse,6.85,0.5949377052616637
bread|butter,6.19,0.9256593468649743
cucumber|potato,5.92,0.8933913079687275
doctor|nurse,7.0,0.5220396431282631
professor|doctor,6.62,0.5290310036875435
student|professor,6.81,0.43072827505258005
smart|student,4.62,0.5068876659321486
smart|stupid,5.81,0.539640464069823
company|stock,7.08,0.633208230867701
stock|market,8.08,0.7675023375930536
stock|phone,1.62,0.4870289871972303
stock|cd,1.31,0.4985282423165928
stock|jaguar,0.92,0.517024959608955
stock|egg,1.81,0.49486929404026936
fertility|egg,6.69,0.5837046376402838
stock|live,3.73,0.4845877231118925
stock|life,0.92,0.5008941162785283
book|library,7.46,0.5172366683535915
bank|money,8.12,0.6291015272455474
wood|forest,7.73,0.7176545566403688
money|cash,9.15,0.8406849713762892
professor|cucumber,0.31,0.5064445450896954
king|cabbage,0.23,0.49389123543603475
king|queen,8.58,0.5949431448748739
king|rook,5.92,0.6120755595903008
bishop|rabbi,6.69,0.47651338887757616
holy|sex,1.62,0.47536647739134597
fuck|sex,9.44,0.6162182759692892
football|soccer,9.03,0.5859980282173205
football|basketball,6.81,0.5003997000573925
football|tennis,6.63,0.5149258656918235
tennis|racket,7.56,0.7659006339708463
law|lawyer,8.38,0.7581635185116617
movie|star,7.38,0.6063094602892629
movie|popcorn,6.19,0.584803268505688
movie|critic,6.73,0.5394297612926044
movie|theater,7.92,0.6056980704544284
physics|proton,8.12,0.56837272746726
physics|chemistry,7.35,0.7627189406068433
space|chemistry,4.88,0.48068144641869537
alcohol|chemistry,5.54,0.49765722935648066
vodka|gin,8.46,0.6812168393340204
vodka|brandy,8.13,0.7167201732024737
drink|car,3.04,0.5124529900263978
drink|ear,1.31,0.4447278677948333
drink|mouth,5.96,0.5153422126156171
drink|eat,6.87,0.6394411580942782
baby|mother,7.85,0.7265343374034959
drink|mother,2.65,0.5067281737340668
car|automobile,8.94,0.810746347756856
gem|jewel,8.96,0.634722558746916
journey|voyage,9.29,0.7262347997833196
boy|lad,8.83,0.6129155388010753
